Date,Description,Amount,Note,Check Number, Category
09-15-2026,USPS PO 05850806 11090 JE,"-$6.37",,,
09-15-2026,APPLE CASH SENT MONEY,"-$3.20",,,
09-14-2026,TESLA SUPERCHARGER US,"$0.00",,,
09-14-2026,Google Workspace_buyec,"-$16.80",,,
09-14-2026,GOOGLE *TEMPORARY HOLD,"$0.00",,,
09-14-2026,USPS PO 05850806 11090 JE,"-$36.78",,,
09-11-2026,STRIPE xx8475 xx7209 20260911043000096P1BAAAA00454454375 ECO DELIGHT COFFEE,"$396.80",,,
09-10-2026,GOOGLE *WORKSPACE BCXV,"-$42.00",,,
09-10-2026,GOOGLE *TEMPORARY HOLD,"$0.00",,,
09-10-2026,TESLA MOTORS TESLA MOTO,"-$107.66",,,
09-10-2026,STRIPE xx8475 xx7209 20260909043000096P1BAAAA00453318476 ECO DELIGHT COFFEE,"$154.62",,,
09-09-2026,STRIPE xx8475 xx7209 20260909043000096P1BAAAA00453066654 ECO DELIGHT COFFEE,"$19.73",,,
09-08-2026,STRIPE xx8475 xx7209 20260908043000096P1BAAAA00452588528 ECO DELIGHT COFFEE,"$200.00",,,
09-08-2026,BAGUETTES,"-$24.69",,,
09-03-2026,AFFIRM.COM PAYMENTS,"$0.00",,,
09-02-2026,ANTHROPIC* CLAUDE SUB,"-$200.00",,,
09-02-2026,STRIPE xx8475 xx7209 20260901043000096P1BAAAA00447817577 ECO DELIGHT COFFEE,"$30.76",,,
09-01-2026,STRIPE xx8475 xx7209 20260901043000096P1BAAAA00447272629 ECO DELIGHT COFFEE,"$55.41",,,
08-31-2026,Mobile Check Deposit,"$327.34",,,
08-31-2026,STRIPE xx8475 xx7209 20260831043000096P1BAAAA00446924292 ECO DELIGHT COFFEE,"$67.78",,,
08-28-2026,STRIPE xx8475 xx7209 20260827043000096P1BAAAA00444804883 ECO DELIGHT COFFEE,"$219.15",,,
08-27-2026,VERCEL INC.,"-$20.00",,,
08-27-2026,VERCEL INC.,"$0.00",,,
08-27-2026,STRIPE xx8475 xx7209 20260827043000096P1BAAAA00444519979 ECO DELIGHT COFFEE,"$339.54",,,
08-27-2026,STRIPE xx8475 xx7209 20260827043000096P1BAAAA00444440216 ECO DELIGHT COFFEE,"$173.58",,,
08-25-2026,STRIPE xx8475 xx7209 20260825043000096P1BAAAA00443591548 ECO DELIGHT COFFEE,"$20.66",,,
08-24-2026,STRIPE xx8475 xx7209 20260824043000096P1BAAAA00442941439 ECO DELIGHT COFFEE,"$152.14",,,
08-21-2026,STRIPE xx8475 xx7209 20260821043000096P1BAAAA00441531871 ECO DELIGHT COFFEE,"$68.98",,,
